index,name,date_of_birth,height,weight,spike,block,position_number,country
277,Cansu Ozbay,17/10/1996,182,75,285,284,1,26
278,Ayca Aykac,27/02/1996,176,54,280,279,6,26
279,Rida Erlalelitepe,22/07/1996,183,70,293,290,2,26
280,Ada Germen,24/06/1997,182,62,285,283,2,26
281,Zehra Gunes,07/07/1999,194,82,309,255,3,26
282,Humay Topaloglu,03/08/1996,180,63,295,293,2,26
283,Yagmur Mislina Kilic,30/03/1996,189,66,283,280,2,26
284,Cemre Janset Erkul,12/01/1997,184,65,298,295,3,26
285,Arelya Karasoy,14/12/1996,181,73,287,280,1,26
286,Arelya Karasoy,14/12/1996,181,73,287,280,1,26
287,Su Zent,25/03/1996,184,70,305,303,3,26
288,Angelina Lazarenko,13/04/1998,193,80,320,305,3,23
289,Svetlana Serbina,15/05/1996,182,71,295,284,1,23
290,Ekaterina Shkurikhina,17/06/1996,190,72,306,296,2,23
291,Kristina Kurnosova,17/06/1997,176,62,288,278,6,23
292,Ekaterina Novikova,07/12/1996,181,70,290,275,1,23
293,Victoria Zhurbenko,17/03/1996,186,67,306,297,3,23
294,Angelina Sperskaite,11/02/1997,188,72,305,295,2,23
295,Anastasiia Barchuk,09/02/1996,187,78,305,297,3,23
296,Anastasiia Cheremisina,14/01/1996,187,80,305,298,2,23
297,Anna Lazareva,31/01/1997,190,67,315,300,4,23
298,Tatiana Iurinskaia,25/01/1996,195,69,305,275,2,23
299,Sabina Gilfanova,14/02/1996,187,79,300,296,4,23
300,Drussyla Costa,01/07/1996,182,73,304,286,2,10
301,Lana Conceição,08/12/1996,175,72,292,281,2,10
302,Ariane Pinto,27/01/1997,191,79,291,284,4,10
303,Laiza Ferreira,18/02/1996,181,71,301,285,3,10
304,Gabriela Candido Da Silva,22/05/1996,181,75,296,285,2,10
305,Gabriela Silva,05/03/1996,182,75,296,281,3,10
306,Karoline Tormena,21/03/1996,187,69,295,284,3,10
307,Lorenne Geraldo Teixeira,08/01/1996,187,72,306,289,4,10
308,Thais Oliveira,01/04/1996,172,69,275,272,1,10
309,Lais Vasques,12/02/1996,171,70,275,274,6,10
310,Lyara Medeiros,19/09/1996,184,67,297,285,1,10
311,Maiara Basso,03/01/1996,186,80,287,276,3,10
312,Nanami Hirose,12/05/1997,177,61,301,295,2,16
313,Misaki Shirai,30/07/1996,175,70,293,278,1,16
314,Yurika Kono,08/04/1996,177,60,292,282,3,16
315,Yuka Kitsui,15/01/1997,172,60,294,283,4,16
316,Haruka Maruo,15/08/1996,176,64,293,283,3,16
317,Haruka Kanamori,09/04/1996,176,66,297,290,3,16
318,Moeri Hanai,17/04/1997,167,60,280,272,6,16
319,Mizuki Yanagita,26/03/1996,168,64,300,290,2,16
320,Yuka Onodera,22/03/1997,173,70,293,283,1,16
321,Shino Nakata,15/07/1997,178,66,287,284,2,16
322,Kaori Mabashi,18/11/1996,173,63,296,286,2,16
323,Anna Koike,16/12/1996,162,62,263,253,2,9
324,Slavena Nikova,07/06/1996,180,72,290,280,2,9
325,Elitsa Barakova,11/03/1997,184,60,290,280,3,9
326,Polina Neykova,07/10/1998,182,73,287,280,1,9
327,Simona Nikolova,29/07/1997,190,75,308,300,4,9
328,Iveta Stanchulova,11/08/1997,186,72,290,285,3,9
329,Vangeliya Rachkovska,19/07/1997,185,67,296,281,2,9
330,Gergana Dimitrova,28/02/1996,184,71,305,288,2,9
331,Miroslava Paskova,16/02/1996,180,67,299,280,2,9
332,Kristiana Petrova,13/07/1997,177,70,290,282,2,9
333,Radostina Marinova,02/10/1998,183,62,287,279,3,9
334,Zhana Todorova,06/01/1997,170,56,271,255,6,9
335,Mirela Shahpazova,28/10/1997,175,65,280,270,1,9
336,Jovana Kocic,24/02/1998,190,85,290,285,3,24
337,Aleksandra Cirovic,30/09/1997,175,57,285,275,1,24
338,Sara Lozo,29/04/1997,186,61,295,290,4,24
339,Katarina Marinkovic,04/04/1996,186,72,298,285,2,24
340,Jelena Vignjevic,07/06/1996,180,63,285,280,1,24
341,Maja Aleksic,06/06/1997,188,72,290,285,3,24
342,Katarina Lazovic,12/09/1999,182,65,285,275,2,24
343,Bojana Milenkovic,06/03/1997,185,70,294,288,2,24
344,Aleksandra Tadic,24/12/1997,174,60,270,265,6,24
345,Sara Vucicevic,29/04/1997,186,66,287,282,3,24
346,Milena Dimic,31/08/1997,170,64,255,250,6,24
347,Marija Vujnovic,11/05/1997,182,65,290,276,2,24
348,Leslie Angélica Lopez Flores,13/02/1996,169,78,198,190,6,19
349,Maria Fernanda Rodriguez Gomez,23/06/1997,185,80,287,280,4,19
350,Janeth Alejandra Vargas Guevara,25/07/1997,169,68,200,210,1,19
351,Maria Elena Aguilera,08/06/1997,153,55,260,240,1,19
352,Kathya Paulina Garcia Chavez,06/03/1998,178,69,285,250,2,19
353,Miriam Arleth Bojorquez Ruiz,14/12/1997,164,66,195,200,2,19
354,Montserrat Castro Narvaez,12/12/1996,199,85,270,268,3,19
355,Fernanda Bañuelos,19/03/1997,186,70,303,285,2,19
356,Kitzia Adonay Corrales Hernandez,12/02/1996,178,71,0,0,4,19
357,Karina Angelica Flores Gamez,16/08/1998,192,80,299,285,3,19
358,Mitzy Natalia Gonzalez Guzman,03/08/1997,168,75,211,209,2,19
359,Alondra Amaro Rodriguez,09/06/1998,188,69,275,250,3,19
360,Dalila Palma Rodriguez,18/11/1999,182,62,301,285,4,31
361,Laura Beatriz Suarez Hernandez,13/12/1998,185,75,304,292,3,31
362,Aidachi Attilah Aguero Aguilera,19/03/1999,177,69,304,295,2,31
363,Claudia Hernandez Aguila,09/01/1997,181,78,225,223,2,31
364,Diaris De La Caridad Perez Ramos,16/11/1998,182,75,304,295,2,31
365,Kitania Medina Torres,24/02/1999,186,77,308,295,4,31
366,Ailama Cese Montalvo,29/10/2000,188,58,322,308,2,31
367,Liset Herrera Blanco,06/12/1998,192,70,311,300,3,31
368,Anaila Martinez Chaviano,20/03/1999,184,70,320,310,1,31
369,Carmela Massip Mursuli,17/01/1998,181,65,304,295,2,31
